instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
Antwerp1.txt,477821.0,477952.0,478018.0,477765.0,477619.0,477947.0,477766.0,477899.0,477880.0,477857.0
Antwerp2.txt,291783.0,291578.0,291748.0,291776.0,291528.0,291775.0,291946.0,291850.0,292018.0,291852.0
Brussels1.txt,502297.0,502568.0,502278.0,502478.0,502433.0,502593.0,502595.0,502301.0,502396.0,502470.0
Brussels2.txt,346315.0,346108.0,346222.0,345999.0,346047.0,346010.0,345813.0,345747.0,346129.0,346184.0
Flanders1.txt,7250915.0,7250014.0,7251783.0,7248755.0,7249682.0,7251362.0,7251195.0,7249806.0,7248491.0,7250162.0
Flanders2.txt,4387322.0,4387028.0,4388777.0,4388322.0,4388844.0,4387079.0,4383635.0,4386369.0,4382341.0,4388285.0
Ghent1.txt,469964.0,470126.0,470024.0,470071.0,469946.0,469894.0,469973.0,469932.0,470059.0,469997.0
Ghent2.txt,258323.0,258224.0,258326.0,258569.0,258186.0,258118.0,258155.0,258289.0,258289.0,258227.0
Leuven1.txt,193100.0,193052.0,193057.0,193046.0,193007.0,192915.0,193111.0,193122.0,193059.0,193085.0
Leuven2.txt,111751.0,111544.0,111585.0,111748.0,111586.0,111622.0,111742.0,111716.0,111820.0,111553.0
instance,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
Antwerp1.txt,16771,16305,16812,16692,16739,16655,16626,16380,16702,16669
Antwerp2.txt,19488,19741,19838,20073,20557,20379,19919,19575,19577,20183
Brussels1.txt,28670,28368,28490,29685,28558,28581,28196,28444,28840,28516
Brussels2.txt,37423,37864,42376,39898,38166,36989,37202,38307,37441,44594
Flanders1.txt,47014,46843,47117,46825,46745,47237,47120,46671,46871,46773
Flanders2.txt,103491,90337,100483,90546,98470,95839,97966,91270,95151,102234
Ghent1.txt,21849,21838,21725,22371,21792,21612,21664,21711,21773,21931
Ghent2.txt,38743,37306,37690,36951,38940,31219,35612,39493,40409,38575
Leuven1.txt,12847,12922,12962,13014,12883,12746,12883,12688,12761,13028
Leuven2.txt,20330,22423,23063,19017,22506,23004,20752,19541,18974,21533
