Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,482858,482498,483685,483556,483376,483927,483593,483337,482772,483127,483357,483031,483897,483090,483032,483534,483651,483186,483660,483616,482899,483846,483499,483663,482851,483488,483254,482779,483109,483895,483267,483445,482879,483306,483111,483338,483119,482872,482678,483648,483107,483650,482944,483919,483271,483237,483728,484092,483144,483775
Antwerp2.txt,302276,302023,301531,302865,302790,302135,302560,301635,301209,301828,302211,302361,301969,302290,302174,302747,301283,302407,302601,302974,302960,301345,302115,301140,302925,302946,302128,302172,301118,302296,302354,302591,301890,301059,302222,302530,302925,302280,302735,302106,301393,302314,302049,302272,302396,302208,302047,301272,302688,301613
Brussels1.txt,517823,518355,518643,517303,518462,518320,517986,517988,518607,517966,517685,517930,518128,517954,517778,517865,517967,517764,518227,516763,517925,517508,518498,518541,517837,518434,518473,518614,517619,517904,517862,517528,517435,518559,517594,518300,518884,518610,518309,518428,518775,517942,517767,518600,518005,519046,517722,518135,518185,517718
Brussels2.txt,362653,362087,362443,363684,361897,362507,361905,362407,362372,362399,361857,362538,363871,363382,362327,361456,363819,362869,361767,360890,362646,363167,363252,363179,362389,362692,362005,363424,362483,361724,362449,362693,363346,363386,362615,362260,362420,363404,361319,362243,363450,362341,363044,362774,361155,362183,362796,362123,362260,360738
Flanders1.txt,7446281,7444538,7452899,7444585,7451085,7452342,7453247,7452705,7450594,7442896,7456734,7452342,7457060,7441696,7447468,7461622,7454171,7445626,7444087,7458230,7457978,7451250,7449032,7457488,7448298,7452804,7454011,7449230,7438982,7449789,7448458,7453388,7451579,7461199,7440189,7451243,7448788,7455379,7449807,7451139,7454549,7447824,7452326,7452820,7453634,7448949,7460770,7446437,7457458,7451564
Flanders2.txt,4624847,4634951,4620837,4620027,4629789,4631168,4627303,4633324,4624183,4613746,4638992,4633562,4629353,4621610,4622266,4621464,4642138,4634710,4635474,4636661,4622382,4631111,4625952,4625857,4622470,4637212,4620125,4623791,4631151,4627695,4644429,4634542,4641083,4618085,4623249,4617910,4630930,4638923,4627601,4627460,4627793,4613073,4635568,4623298,4627517,4619049,4632498,4644360,4623467,4639151
Ghent1.txt,477421,477662,477327,477427,477972,477380,477536,477719,477131,477452,477374,477650,477159,477395,477166,477647,477281,477098,477567,477298,476808,477494,477429,477935,477248,477193,477338,477221,477395,477482,477476,476732,478014,477476,477514,477568,477559,477226,477544,477409,478004,477516,477622,477656,477485,477834,477355,477953,477314,477955
Ghent2.txt,268490,268108,268415,268180,268106,268148,268095,268677,268572,268039,267955,268174,268568,267953,268370,268048,268654,268055,268427,269027,267427,269272,268264,269001,267727,267842,268581,267673,269012,268002,268395,267661,268596,267382,268496,268162,268266,267420,268360,267760,268110,267704,268177,268618,267568,268289,268195,267857,267540,267724
Leuven1.txt,194591,194652,194348,194620,194649,194709,194472,194571,194383,194237,194510,194536,194299,194713,194587,194634,194807,194652,194486,194495,194269,194594,194353,194700,194417,194336,194944,194904,194660,194379,194474,194602,194511,194824,194399,194775,194496,194469,194549,194590,194456,194416,194728,194560,194539,194513,194671,194792,194583,194799
Leuven2.txt,113714,113686,113475,113330,114042,113203,113545,113394,113506,113474,113381,114490,113335,113763,113933,113552,113426,113471,113597,113798,113702,113471,113340,113821,114243,113586,113947,113632,114752,113383,113576,113640,114349,114424,114016,113535,113534,113407,114153,113438,113224,113334,113463,113252,113321,114027,113101,113331,113269,113795
