instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,478769.0,478692.0,478639.0,478358.0,478482.0,478914.0,478689.0,478363.0,478733.0,478576.0,478837.0,478730.0,478538.0,478693.0,478538.0,478455.0,478591.0,478350.0,478480.0,478526.0,478845.0,478516.0,478599.0,478648.0,478518.0,478374.0,478349.0,478825.0,478625.0,478496.0,478682.0,478614.0,478400.0,478778.0,478576.0,478304.0,478468.0,478345.0,478400.0,478582.0,478378.0,478555.0,478487.0,478540.0,478633.0,478858.0,478556.0,478562.0,478720.0,478612.0
Antwerp2.txt,292483.0,292530.0,292697.0,292604.0,292735.0,292709.0,292690.0,292665.0,292904.0,292552.0,292686.0,292350.0,292647.0,292771.0,292303.0,292368.0,292623.0,292569.0,292721.0,292516.0,292390.0,292722.0,292786.0,292527.0,292430.0,292522.0,292602.0,292330.0,293014.0,292744.0,292610.0,292513.0,292322.0,292370.0,292513.0,292767.0,292545.0,292396.0,292663.0,292606.0,292837.0,292366.0,292694.0,292754.0,292642.0,292599.0,292888.0,292527.0,292440.0,292840.0
Brussels1.txt,504049.0,503734.0,503821.0,504129.0,503555.0,503778.0,503892.0,503699.0,503915.0,503604.0,504117.0,503846.0,503969.0,504003.0,503692.0,503808.0,503952.0,503953.0,504076.0,503861.0,504018.0,503950.0,503973.0,503818.0,503761.0,503875.0,503892.0,503910.0,503744.0,503815.0,503917.0,503961.0,503920.0,504088.0,503966.0,503838.0,503758.0,503911.0,503687.0,504122.0,503750.0,504038.0,503565.0,503895.0,503688.0,504018.0,503698.0,503763.0,504070.0,504028.0
Brussels2.txt,347400.0,347388.0,347261.0,348017.0,347629.0,347733.0,347587.0,347650.0,347904.0,347466.0,347519.0,347350.0,347480.0,347394.0,347295.0,347554.0,347740.0,347552.0,347306.0,347616.0,347321.0,347638.0,347378.0,347231.0,347193.0,347645.0,347227.0,347575.0,347551.0,347539.0,347660.0,347665.0,347274.0,347577.0,347780.0,347700.0,347530.0,347786.0,347484.0,347250.0,347453.0,347781.0,347289.0,347092.0,347691.0,347328.0,347550.0,347503.0,347761.0,347243.0
Flanders1.txt,7266352.0,7263581.0,7265512.0,7265647.0,7265678.0,7262255.0,7264653.0,7265019.0,7264595.0,7264331.0,7267028.0,7267998.0,7264511.0,7265280.0,7266207.0,7265382.0,7263480.0,7264940.0,7266491.0,7268021.0,7264339.0,7264268.0,7264426.0,7264190.0,7264663.0,7264841.0,7264936.0,7263197.0,7267552.0,7265863.0,7266411.0,7266962.0,7268019.0,7264738.0,7263748.0,7265094.0,7265580.0,7265007.0,7263952.0,7266253.0,7264287.0,7268861.0,7264209.0,7266785.0,7269271.0,7263976.0,7264060.0,7266446.0,7262940.0,7265919.0
Flanders2.txt,4400188.0,4407255.0,4405428.0,4401557.0,4402874.0,4405610.0,4406864.0,4406848.0,4403881.0,4402278.0,4404559.0,4402208.0,4408436.0,4406428.0,4403185.0,4406587.0,4403441.0,4401135.0,4407831.0,4404665.0,4408411.0,4407742.0,4405143.0,4406996.0,4405479.0,4401971.0,4403190.0,4404984.0,4404351.0,4406545.0,4404203.0,4405662.0,4400572.0,4404351.0,4403638.0,4405849.0,4404672.0,4411066.0,4403539.0,4404007.0,4405415.0,4402354.0,4402619.0,4402170.0,4405453.0,4406329.0,4402831.0,4400392.0,4404966.0,4407589.0
Ghent1.txt,470973.0,471096.0,470815.0,470890.0,471192.0,470989.0,470963.0,470949.0,470707.0,471070.0,471042.0,470934.0,470916.0,470768.0,470917.0,470982.0,470984.0,470971.0,470980.0,470809.0,470870.0,471044.0,470966.0,470981.0,471125.0,471027.0,470989.0,471139.0,471016.0,470872.0,471093.0,471142.0,471088.0,470835.0,470939.0,471019.0,471060.0,470697.0,471066.0,471172.0,471006.0,470870.0,470863.0,470830.0,471087.0,471086.0,470714.0,471209.0,470867.0,470866.0
Ghent2.txt,258872.0,259055.0,258718.0,259116.0,258763.0,258741.0,258764.0,258943.0,258841.0,258898.0,259093.0,258865.0,258850.0,259055.0,258801.0,258785.0,258960.0,258727.0,259011.0,259078.0,259041.0,258898.0,258824.0,258700.0,258919.0,258870.0,258816.0,258897.0,259189.0,259004.0,258903.0,259004.0,258811.0,258801.0,258701.0,258831.0,258921.0,258806.0,259128.0,259124.0,258952.0,258914.0,258950.0,258803.0,258925.0,259050.0,258824.0,258846.0,258778.0,258970.0
Leuven1.txt,193240.0,193237.0,193198.0,193305.0,193313.0,193332.0,193337.0,193269.0,193323.0,193249.0,193174.0,193275.0,193423.0,193367.0,193202.0,193410.0,193253.0,193339.0,193471.0,193357.0,193236.0,193336.0,193287.0,193378.0,193403.0,193319.0,193429.0,193262.0,193268.0,193277.0,193231.0,193377.0,193360.0,193385.0,193329.0,193277.0,193412.0,193052.0,193313.0,193357.0,193381.0,193312.0,193399.0,193378.0,193242.0,193264.0,193479.0,193326.0,193391.0,193210.0
Leuven2.txt,111921.0,111661.0,111938.0,111904.0,111711.0,111720.0,111948.0,111739.0,112085.0,111912.0,111894.0,112077.0,111892.0,111842.0,111984.0,111918.0,111918.0,111779.0,111760.0,111873.0,112046.0,111716.0,111885.0,111778.0,111663.0,111977.0,111906.0,111710.0,111763.0,111827.0,111816.0,112054.0,111933.0,111892.0,111917.0,111971.0,111959.0,111985.0,111857.0,111792.0,111942.0,111797.0,112130.0,112057.0,111986.0,111806.0,111837.0,111820.0,111938.0,112003.0
instance,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
Antwerp1.txt,1691,1687,1698,1680,1670,1693,1686,1693,1680,1677,1679,1696,1679,1673,1692,1684,1699,1683,1672,1679,1681,1700,1696,1692,1694,1683,1669,1704,1674,1640,1676,1640,1689,1641,1693,1684,1630,1666,1689,1690,1678,1684,1666,1694,1680,1662,1679,1670,1669,1687
Antwerp2.txt,2005,1961,2124,2084,2023,1989,1983,1987,1976,1983,1970,2005,1976,1984,1960,2080,2068,1952,1983,2010,1967,1982,2024,1982,1981,2002,2013,1946,2042,2248,1991,2142,2075,2117,2005,1989,1966,2240,2016,1968,2005,2013,2039,2013,2007,1974,2064,1982,2069,2005
Brussels1.txt,2897,2857,2874,2880,2887,2856,2891,2853,2996,2854,2892,2867,2857,2868,2848,2879,2871,2865,2873,2884,2869,2968,2862,2843,2857,2876,2882,2860,2860,2863,2878,2894,2859,2868,2844,2856,2856,2867,2897,2850,2864,2882,2845,2874,2877,2798,2785,2864,2862,2869
Brussels2.txt,3691,3489,3839,4236,3561,4491,3812,3558,3455,3439,3941,3936,3674,3757,3845,3329,4269,3754,3752,3400,4297,3721,4059,3470,3386,3911,4149,3511,3560,3814,3478,3366,3899,4273,3956,3887,3707,3530,3866,3890,3850,3686,3934,3895,3584,3512,3727,3528,3752,3680
Flanders1.txt,4713,4701,4706,4708,4812,4714,4760,4698,4724,4748,4701,4701,4662,4710,4695,4762,4717,4697,4719,4702,4597,4661,4677,4734,4607,4681,4718,4693,4705,4714,4746,4702,4728,4675,4675,4736,4657,4688,4722,4706,4712,4717,4675,4706,4742,4729,4720,4722,4704,4729
Flanders2.txt,7890,8384,8801,9506,9484,8868,8752,8933,8879,9260,8922,8751,9153,9163,9041,9401,9001,9164,9269,9356,8208,8567,9439,8992,9237,9097,9399,9510,9129,8921,8054,9043,8918,8909,8527,9010,8714,9354,9303,9520,8882,9365,9710,9494,9617,8493,8760,9563,9538,9548
Ghent1.txt,2207,2198,2200,2170,2202,2192,2139,2173,2189,2265,2206,2191,2193,2195,2209,2195,2194,2178,2182,2200,2142,2200,2187,2203,2199,2208,2195,2190,2181,2181,2193,2194,2195,2194,2175,2205,2198,2197,2180,2168,2208,2270,2205,2190,2191,2176,2199,2200,2201,2207
Ghent2.txt,3190,3097,3501,3281,3068,3638,3609,3649,3674,3323,3580,3628,3962,3468,3728,3556,3660,3550,3149,3622,3691,3524,3397,3300,3603,3788,3779,3630,3752,3395,3443,3594,3554,3217,3661,3497,3490,3534,3823,3907,3432,3466,3657,3883,3399,3631,3397,4029,3734,3877
Leuven1.txt,1292,1291,1303,1272,1295,1277,1260,1281,1300,1301,1277,1313,1305,1298,1278,1304,1283,1301,1303,1289,1277,1287,1289,1292,1285,1296,1294,1277,1273,1303,1281,1304,1295,1292,1277,1313,1311,1275,1292,1279,1289,1293,1287,1286,1279,1283,1264,1315,1304,1291
Leuven2.txt,1948,2258,2187,2304,2078,2430,2194,2568,1983,1917,2166,1992,2341,2276,2101,2149,2034,2467,2258,1993,2119,2226,2008,2274,2389,2442,2164,2343,2366,2269,2180,1959,2107,2205,2174,1932,2026,2432,1954,2265,2200,2311,2055,1926,1945,2124,2160,2274,2142,1977
