instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
bins_East.inp,4406961.5,4405714.0,4423164.0,4390433.0,4407347.0,4406962.5,4390100.5,4417347.5,4419171.5,4390511.5,4378553.5,4424373.0,4429203.5,4423438.0,4408457.5,4380768.5,4403762.5,4418909.5,4409096.0,4434398.5,4443975.5,4417698.5,4391170.5,4410897.0,4389903.5,4445506.0,4452614.5,4474548.5,4414574.0,4454941.0,4424068.0,4455478.5,4407562.5,4414433.5,4458532.0,4397571.5,4397575.5,4397377.0,4419790.5,4402641.5,4409746.5,4422360.5,4434499.5,4427508.5,4397180.5,4399869.0,4450736.0,4481664.0,4393716.0,4408424.0
bins_Middle.inp,2995456.0,3000757.25,3058905.5,3014717.75,3010278.25,3011980.5,3020197.75,3000924.25,3015228.0,3014526.0,2994718.0,3026391.25,2999274.25,3011148.5,3014543.5,3024349.25,3028162.0,3024570.75,2993453.0,3001840.75,3009182.25,3019525.25,3007720.0,2999130.0,3043205.5,3011854.5,3039829.25,3023528.75,3002165.5,3010493.0,3001509.5,3063702.0,3002785.75,3031638.0,3001022.0,3018845.25,3016127.75,2999238.25,3017897.75,3007523.25,3029609.75,3005407.5,2997011.5,3006869.5,3017620.75,3084559.25,3007786.75,3006991.75,3030181.5,2993069.75
bins_R3.inp,181618.8594,181542.1719,181406.5312,181524.7812,181754.7812,181730.2188,181300.6562,181539.4375,181344.8594,181740.7188,181374.8438,181305.9375,181512.6562,181550.2031,181349.4375,181410.8281,181601.3594,181522.7812,181420.8438,181475.2812,181536.3906,181612.0938,181408.3906,181348.2031,181672.25,181528.4531,181542.625,181513.6406,181411.7031,181672.2969,181418.1094,181385.0625,181508.3438,181580.1406,181427.6562,181608.7188,181569.0469,181406.2031,181288.0,181485.75,181422.4531,181358.6719,181602.3594,181498.8125,181582.4062,181400.7344,181370.2188,181562.8125,181627.7656,181484.0469
bins_R6.inp,346361.3438,346222.125,346378.875,346456.6562,346466.625,346207.25,346224.5625,346375.9062,346145.1875,346080.2812,346228.1562,346238.625,346086.7812,346400.9688,346359.9688,346056.4688,346362.3125,346342.3125,346122.4375,346238.1562,346362.1562,346359.125,346155.6562,346385.0,346210.4062,346009.4375,346307.7188,346283.75,346110.5938,346308.2812,346430.2812,346139.2812,346349.5,346357.5625,346357.5312,346437.3125,346199.75,346294.5625,346221.1875,346126.4062,346298.3438,346257.8125,346304.0,346570.0938,346354.875,346402.9375,346234.8125,346146.1562,346428.25,346228.375
bins_R9.inp,510378.5625,510808.1875,510390.6875,510499.5312,510914.4062,510574.9688,510561.5938,510599.4688,510280.9062,510813.0312,510379.0938,510650.8438,510393.125,510512.625,510642.7812,510802.5,510851.625,510390.0938,510670.9062,510459.875,510346.5312,510431.9062,510472.4688,510508.4062,510572.75,510419.875,510527.5625,510078.875,510479.1562,510717.7812,510372.0,510405.9375,510328.9062,510460.0312,510470.5,510485.8125,510470.6875,510339.9688,510768.0938,510309.3438,510565.1562,510634.0938,510627.3438,510312.5938,510648.3125,510696.5,510545.3438,510915.0938,510349.0312,510798.6562
bins_R12.inp,672537.125,672256.6875,672223.8125,672549.75,672492.1875,672306.875,672557.125,672438.6875,672470.1875,672265.9375,672761.375,672540.6875,672454.75,672313.0625,672487.6875,672144.9375,672439.0,672692.75,672448.5,672352.375,672194.0625,672210.6875,672116.1875,672322.375,672378.1875,672740.0625,671880.4375,672421.0625,672020.6875,672525.8125,672524.5625,672616.9375,672063.875,672250.25,672678.125,672545.125,672503.8125,672434.25,672467.4375,672473.375,672332.9375,672320.9375,672270.0625,672349.125,672473.875,672325.625,672352.1875,672905.875,672266.8125,672456.25
bins_South.inp,3048653.0,3083748.0,3057822.5,3076170.5,3077246.0,3068075.0,3079107.75,3081799.0,3051499.5,3061887.25,3084211.75,3080405.0,3075827.0,3077760.25,3078448.75,3052705.25,3071283.75,3097051.0,3032787.5,3046221.0,3048343.5,3029033.0,3056310.25,3045171.5,3071073.25,3041827.0,3039038.0,3109345.25,3035489.0,3061554.75,3057531.5,3083175.25,3050167.5,3074910.75,3069446.75,3079405.25,3071788.25,3065591.0,3054929.75,3129167.5,3078683.0,3072557.75,3062666.25,3072281.75,3057340.5,3069054.5,3073036.5,3079832.0,3041327.5,3087644.75
bins_West.inp,4284001.0,4207162.5,4214780.5,4181342.75,4193949.5,4152259.75,4222820.0,4270005.5,4199085.5,4210178.0,4189258.0,4208424.5,4236039.0,4259566.0,4286871.5,4219821.5,4230024.0,4242828.0,4244158.5,4185923.0,4309297.0,4248750.5,4206191.0,4253360.5,4332971.0,4204562.5,4252887.5,4202040.0,4212011.0,4184944.25,4193011.0,4231886.0,4202188.0,4231686.5,4235600.5,4182242.75,4164315.5,4202624.0,4250053.5,4230099.0,4208374.0,4222385.5,4228565.5,4242171.5,4290483.5,4187745.25,4269505.5,4236355.5,4189619.5,4242078.0
instance,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
bins_East.inp,733,761,887,831,863,819,778,1019,794,951,890,623,686,739,777,881,801,857,835,1052,944,781,917,772,858,802,901,1027,892,890,865,915,744,650,1032,739,783,627,795,867,895,655,997,926,803,839,891,1030,820,1068
bins_Middle.inp,927,821,946,952,832,780,817,1012,1008,1012,909,1032,1072,996,1016,960,915,919,1033,949,870,686,906,1001,1006,1059,984,1119,952,812,1055,1059,809,917,1018,935,813,994,791,979,1036,922,834,947,1033,901,1174,1094,911,1061
bins_R3.inp,138,136,135,133,137,138,130,138,132,137,133,134,136,138,134,134,136,136,136,135,138,138,135,134,133,136,134,133,132,137,132,131,134,137,132,136,136,132,135,135,136,132,139,133,133,141,136,138,138,139
bins_R6.inp,172,178,179,175,179,177,180,183,178,180,178,177,179,179,181,173,179,178,179,176,182,181,175,179,180,183,183,179,175,179,177,175,179,181,178,179,180,183,176,180,178,175,176,179,180,181,176,178,176,175
bins_R9.inp,220,225,216,225,226,224,224,224,226,220,222,225,222,222,222,223,223,221,219,224,220,225,219,215,223,217,219,216,226,223,220,218,223,228,224,221,222,223,221,216,229,220,224,219,226,223,220,224,221,224
bins_R12.inp,268,276,264,271,270,265,266,268,269,266,270,269,267,265,268,268,259,275,272,267,258,268,270,263,268,279,265,275,266,268,270,276,269,269,268,285,269,273,269,265,266,263,265,267,268,269,267,269,266,267
bins_South.inp,502,500,621,647,640,560,520,517,550,517,651,519,483,535,621,552,569,626,543,573,598,477,598,491,499,477,570,502,539,562,524,607,615,561,556,527,550,500,549,478,534,683,658,610,565,646,572,529,575,499
bins_West.inp,574,625,609,516,514,623,512,610,542,636,567,458,604,620,613,609,588,612,593,534,594,604,477,572,592,550,583,528,631,514,532,588,573,651,600,578,530,505,636,481,488,594,618,537,610,564,603,649,652,586
