instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
X-n101-k25.vrp,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0
X-n106-k14.vrp,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0
X-n110-k13.vrp,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0
X-n115-k10.vrp,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0
X-n120-k6.vrp,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0
X-n125-k30.vrp,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0
X-n129-k18.vrp,28945.0,28940.0,28942.0,28948.0,28948.0,28948.0,28948.0,28948.0,28944.0,28940.0
X-n134-k13.vrp,10916.0,10916.0,10916.0,10916.0,10916.0,10917.0,10916.0,10916.0,10916.0,10916.0
X-n139-k10.vrp,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0
X-n143-k7.vrp,15700.0,15700.0,15700.0,15700.0,15718.0,15700.0,15700.0,15700.0,15700.0,15700.0
X-n148-k46.vrp,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0
X-n153-k22.vrp,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0
X-n157-k13.vrp,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0
X-n162-k11.vrp,14147.0,14138.0,14138.0,14138.0,14138.0,14138.0,14138.0,14147.0,14138.0,14147.0
X-n167-k10.vrp,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0
X-n172-k51.vrp,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0
X-n176-k26.vrp,47812.0,47812.0,47812.0,47812.0,47812.0,47812.0,47812.0,47822.0,48060.0,47812.0
X-n181-k23.vrp,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0
X-n186-k15.vrp,24147.0,24147.0,24147.0,24147.0,24147.0,24145.0,24147.0,24147.0,24147.0,24147.0
X-n190-k8.vrp,16980.0,16981.0,16980.0,16980.0,16981.0,16980.0,16980.0,16980.0,16981.0,16980.0
X-n195-k51.vrp,44270.0,44241.0,44241.0,44225.0,44225.0,44238.0,44241.0,44241.0,44225.0,44241.0
