Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n101-k25.vrp,27939,27653,27936,27617,27665,27825,27825,27897,27914,27729,27904,27873,27938,27938,27833,27873,27632,28044,27929,27873,27982,27873,27906,27873,27833,27974,27974,28008,27996,27623,27897,27653,27910,27862,27929,27885,27881,27833,27833,27938,27665,27909,27621,27957,27993,27631,27591,28002,27873,27825
X-n106-k14.vrp,26534,26522,26522,26624,26612,26391,26383,26540,26620,26497,26548,26615,26523,26678,26544,26462,26617,26537,26523,26452,26560,26467,26362,26564,26530,26570,26536,26530,26616,26519,26627,26527,26432,26534,26505,26527,26515,26442,26566,26603,26627,26559,26396,26588,26512,26408,26522,26440,26650,26571
X-n110-k13.vrp,15041,15041,15073,15040,14971,15042,15036,15064,15016,14971,15020,15020,15032,15118,15072,15036,15086,15057,15042,15043,15092,15020,14991,15020,15048,15020,15018,15020,15081,14971,15048,15016,15058,14971,15016,15011,15016,15036,15016,15048,15020,15041,15056,15048,15020,15016,15076,15018,15041,15142
X-n115-k10.vrp,12785,12747,12747,12785,12786,12747,12747,12772,12747,12876,12823,12823,12823,12747,12782,12879,12747,12785,12747,12747,12866,12785,12881,12818,12823,12750,12750,12821,12747,12747,12747,12750,12747,12785,12785,12845,12818,12747,12785,12747,12785,12748,12747,12757,12751,12747,12881,12747,12823,12811
X-n120-k6.vrp,13388,13393,13432,13366,13366,13334,13333,13388,13334,13375,13375,13366,13438,13361,13339,13382,13342,13421,13333,13404,13332,13349,13410,13332,13340,13426,13393,13332,13341,13387,13340,13340,13429,13349,13342,13366,13332,13333,13333,13366,13333,13342,13333,13375,13431,13426,13391,13332,13445,13335
X-n125-k30.vrp,56442,56708,56390,56857,56173,56345,56091,56252,56055,56674,56776,56647,56660,56446,56393,56288,56418,56380,56161,56080,56524,56162,56478,56095,56495,56749,56527,56258,56564,56234,56125,56043,56253,56376,56187,56348,56200,56470,55807,56280,56517,56392,56565,56366,56125,56175,56429,56547,56890,56445
X-n129-k18.vrp,29184,29306,29207,29292,29343,29279,29214,29218,29272,29176,29191,29278,29198,29212,29201,29191,29128,29198,29197,29191,29207,29194,29226,29328,29181,29301,29121,29216,29220,29195,29303,29195,29245,29207,29202,29191,29288,29213,29259,29319,29204,29226,29416,29171,29290,29198,29220,29191,29186,29194
X-n134-k13.vrp,10978,11041,11022,11015,11014,11081,11022,10970,11022,10978,11016,11026,11022,11022,10978,11008,11067,10978,11032,11039,11039,10977,10978,10947,11035,11006,11020,11023,11008,10978,11025,10978,11032,10985,11015,11007,11025,11012,11123,11032,11034,11003,11038,11052,11056,10978,11023,11069,11017,10964
X-n139-k10.vrp,13664,13685,13698,13648,13723,13694,13711,13592,13707,13603,13624,13707,13638,13693,13715,13697,13741,13709,13710,13624,13653,13605,13602,13734,13602,13664,13627,13676,13695,13723,13707,13838,13741,13602,13664,13768,13643,13602,13670,13662,13653,13602,13642,13642,13664,13624,13716,13691,13628,13624
X-n143-k7.vrp,15764,15942,16129,15757,16154,16041,16103,16150,15777,16123,16125,15848,16095,16173,16025,15800,16147,15772,16081,16150,16143,15779,16308,16125,15743,16009,16123,15730,15984,15843,16343,16036,16123,16113,15757,16316,16038,16147,16130,15777,15819,15777,16122,16140,16081,15757,16327,15757,16150,15784
X-n148-k46.vrp,43894,43688,43756,43903,43945,43801,43800,44018,43709,43647,43944,43811,44071,43813,43816,43769,43814,43555,43787,43713,43674,43741,43835,43677,43665,43797,43907,43673,43858,43680,43753,43797,43690,43754,43807,43806,43980,44089,43712,43761,43778,44127,43738,43830,43907,44091,43751,43771,43682,43821
X-n153-k22.vrp,21403,21430,21802,21548,21401,21398,21452,21527,21445,21543,21376,21385,21813,21792,21263,21573,21367,21526,21402,21403,21479,21530,21425,21423,21509,21530,21378,21834,21495,21533,21398,21375,21431,21502,21431,21544,21549,21530,21565,21401,21519,21249,21474,21492,21403,21385,21366,21530,21515,21533
X-n157-k13.vrp,16912,16924,16926,16917,16897,16975,16917,16938,16933,16897,16920,16885,16888,16935,16932,16924,16941,16922,16939,16898,16944,16897,16924,16925,16931,16919,16920,16920,16937,16924,16915,16903,16876,16915,16923,16910,16911,16897,16876,16971,16925,16895,16919,16972,16897,16935,16902,16876,16897,16910
X-n162-k11.vrp,14150,14175,14175,14189,14175,14212,14180,14222,14313,14184,14199,14175,14217,14184,14183,14175,14213,14184,14247,14175,14184,14163,14199,14199,14234,14164,14187,14175,14183,14180,14199,14184,14199,14178,14272,14175,14183,14202,14182,14175,14175,14213,14159,14221,14175,14184,14203,14175,14185,14172
X-n167-k10.vrp,20658,20632,20717,20761,20714,20597,20634,20690,20666,20722,20661,20595,20718,20667,20715,20608,20629,20661,20769,20663,20676,20694,20895,20696,20675,20643,20725,20702,20725,20557,20602,20710,20687,20557,20686,20729,20742,20738,20707,20615,20694,20694,20643,20725,20758,20557,20773,20706,20651,20724
X-n172-k51.vrp,45979,45901,45827,45894,45802,45810,45960,45767,46181,45860,45812,46007,45963,45928,45786,46019,45925,46150,45905,45998,45840,46067,45920,45926,45883,45858,45850,46047,46044,46025,46028,45990,45890,46053,45968,46309,46173,46084,46245,46036,46125,46112,46095,45861,46094,46101,46017,46114,45854,45786
X-n176-k26.vrp,48858,49262,49150,49249,48722,48909,49569,48856,48924,48911,49066,48924,49312,48872,49258,48913,48784,49629,48840,49549,49578,49068,48856,48856,49403,48900,48856,48911,48904,48820,48905,48986,49204,48911,48860,48861,49091,48861,49561,48904,49075,49134,48789,48840,49083,49524,48927,48927,48925,48856
