Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n101-k25.vrp,27833,27591,27913,27886,27591,27721,27825,27591,27833,27624,27838,27841,27591,27798,27903,27897,27917,27862,27881,27833,27825,27591,27659,27825,27841,27887,27653,27833,27881,27653,27591,27659,27881,27854,27885,27591,27841,27591,27591,27651,27591,27833,27653,27862,27591,27679,27591,27833,27825,27833
X-n106-k14.vrp,26379,26530,26561,26529,26505,26376,26383,26505,26435,26417,26527,26383,26462,26421,26519,26379,26526,26391,26523,26530,26515,26391,26382,26387,26383,26391,26378,26516,26523,26518,26383,26383,26374,26527,26362,26515,26408,26518,26505,26505,26507,26383,26515,26383,26362,26511,26388,26364,26507,26518
X-n110-k13.vrp,15016,14975,15011,14971,15016,15011,14977,15016,15020,14971,14971,14971,14975,14971,14971,15011,15016,14971,14971,14971,15015,15048,15009,15011,14971,15048,14989,14971,14996,15018,15016,15016,14971,15014,14971,15016,15011,14971,14976,14971,14971,15011,15011,15011,14989,14971,15011,14971,15011,15003
X-n115-k10.vrp,12747,12755,12747,12747,12778,12747,12747,12747,12747,12747,12747,12749,12747,12747,12747,12785,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12753,12747,12748,12747,12747,12754,12747,12747,12747,12747,12747,12747,12747,12785,12747,12747,12747,12747,12747,12785,12751
X-n120-k6.vrp,13332,13333,13332,13332,13332,13344,13332,13332,13332,13332,13332,13334,13332,13354,13339,13332,13333,13360,13332,13332,13332,13333,13332,13332,13333,13332,13332,13332,13333,13332,13332,13345,13354,13332,13332,13332,13333,13333,13332,13332,13332,13332,13334,13334,13332,13332,13332,13333,13332,13354
X-n125-k30.vrp,56028,56023,56063,55965,56019,55721,55709,55707,55769,55990,55866,55888,55916,55998,56043,56032,56039,56032,56024,56169,56002,55988,56369,55891,55546,56071,55917,56044,56162,55748,56078,55931,56223,55997,55825,56320,55996,56103,55940,55970,55586,56146,56034,55707,56071,56020,56039,56335,55994,55698
X-n129-k18.vrp,29102,29012,28954,28971,29054,28954,29149,28958,28972,28971,29120,29191,29031,28954,29014,29005,28997,28954,28982,28995,29083,28971,28954,29149,29013,29150,29012,28972,29150,28998,29133,29043,28987,28998,29184,29038,29048,29004,28998,29009,28971,28969,29172,28995,28954,28991,28972,29004,28984,28971
X-n134-k13.vrp,10944,10933,10945,10978,10947,10944,10944,10982,10947,10944,10945,10959,10966,10945,10947,10959,10944,10945,10978,10944,10967,10955,10974,10947,10944,10961,10944,10965,10944,10944,10970,11012,11009,10944,10951,10981,11002,10997,10978,10986,10961,10944,10974,10958,10971,10978,10944,10944,10967,10945
X-n139-k10.vrp,13679,13602,13608,13605,13611,13614,13602,13605,13617,13612,13592,13655,13602,13608,13614,13608,13645,13606,13614,13617,13645,13627,13663,13645,13614,13645,13592,13644,13590,13646,13592,13590,13608,13612,13608,13637,13595,13605,13643,13590,13593,13614,13607,13612,13613,13612,13645,13653,13593,13592
X-n143-k7.vrp,15729,15777,15776,15772,15733,15733,15733,15726,15751,15732,15748,15745,15730,15781,15730,15747,15965,15730,15756,15733,15700,15733,15730,15739,15772,15735,15730,15758,15733,15730,15730,15740,15733,15726,15777,15772,15730,15748,15760,15757,15733,15730,15733,15733,15733,15780,15731,15730,15726,15776
X-n148-k46.vrp,43756,43683,43613,43706,43701,43726,43530,43448,43715,43641,43583,43797,43481,43625,43684,43613,43793,43733,43487,43578,43715,43750,43776,43566,43762,43715,43538,43695,43816,43625,43715,43618,43627,43785,43804,43790,43561,43613,43583,43614,43678,43668,43715,43520,43692,43715,43618,43686,43665,43689
X-n153-k22.vrp,21366,21386,21422,21225,21246,21366,21248,21401,21239,21225,21225,21380,21239,21380,21239,21246,21225,21238,21235,21262,21225,21246,21225,21403,21366,21366,21366,21231,21239,21256,21225,21273,21237,21371,21235,21235,21268,21239,21241,21225,21236,21245,21235,21246,21225,21225,21366,21366,21239,21235
X-n157-k13.vrp,16910,16904,16887,16912,16910,16911,16895,16910,16913,16890,16876,16887,16876,16876,16920,16911,16890,16894,16876,16888,16876,16892,16913,16924,16876,16876,16917,16891,16876,16919,16929,16898,16891,16895,16876,16876,16883,16932,16876,16886,16876,16911,16883,16889,16876,16876,16876,16920,16889,16890
X-n162-k11.vrp,14201,14156,14163,14156,14163,14183,14148,14138,14163,14171,14171,14163,14183,14174,14163,14183,14163,14163,14174,14138,14175,14174,14156,14172,14175,14183,14176,14163,14172,14174,14171,14188,14167,14163,14172,14138,14165,14175,14171,14161,14156,14183,14156,14172,14171,14183,14162,14174,14165,14175
X-n167-k10.vrp,20614,20619,20593,20614,20616,20614,20575,20616,20614,20614,20562,20614,20565,20583,20629,20592,20660,20713,20754,20607,20562,20557,20643,20557,20660,20614,20590,20595,20600,20632,20557,20610,20639,20557,20592,20557,20761,20557,20557,20557,20557,20712,20572,20614,20614,20557,20557,20557,20557,20623
X-n172-k51.vrp,45931,45738,45745,45709,45716,45711,45743,45713,45709,45874,45732,45677,45732,45815,45738,45713,45752,45712,45759,45822,45726,46026,45799,45709,45770,45712,45715,45741,45732,45725,45716,45712,45733,45717,45709,45709,45770,45740,45713,45740,45709,45709,45800,45732,45740,45709,45709,45806,45712,45745
X-n176-k26.vrp,48784,48749,48412,48829,48820,48789,48365,48810,48455,48813,48753,48784,48758,48356,48820,48753,48707,48821,48370,48810,48820,48888,48784,48753,48368,48820,48421,48781,48360,48785,48832,48822,48784,48419,48573,48380,48757,48815,48758,48719,48379,48753,48832,48790,48375,48810,48365,48824,48517,48821
X-n181-k23.vrp,25598,25611,25599,25584,25658,25612,25611,25592,25580,25608,25611,25611,25596,25589,25630,25596,25620,25620,25642,25598,25608,25613,25576,25611,25635,25592,25611,25641,25594,25634,25606,25600,25613,25604,25589,25657,25608,25589,25597,25618,25580,25606,25615,25591,25591,25584,25582,25578,25626,25641
X-n186-k15.vrp,24243,24222,24236,24194,24218,24223,24276,24241,24204,24225,24172,24291,24236,24199,24218,24226,24205,24197,24210,24201,24213,24207,24214,24189,24231,24196,24215,24262,24439,24231,24209,24197,24149,24299,24215,24259,24177,24197,24177,24238,24207,24201,24204,24391,24248,24196,24189,24215,24213,24196
X-n190-k8.vrp,17064,17051,17020,17031,17049,17078,17032,17076,17001,17061,17019,17119,17023,17071,17069,17061,17067,17000,16996,17074,17041,17141,17071,17091,17062,17024,17078,17115,17023,17093,17070,16992,17055,17025,16988,17078,17070,17062,17071,17102,17020,17071,17079,17017,17053,17100,17077,17064,17025,17062
X-n195-k51.vrp,44466,44358,44527,44541,44360,44493,44384,44438,44556,44418,44330,44464,44491,44516,44382,44498,44352,44402,44466,44454,44476,44415,44321,44407,44270,44480,44264,44363,44427,44459,44380,44279,44359,44310,44370,44360,44356,44412,44434,44482,44509,44587,44421,44318,44298,44428,44253,44302,44441,44377
