instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n101-k25.vrp,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0
X-n106-k14.vrp,26383.0,26362.0,26362.0,26374.0,26364.0,26364.0,26383.0,26370.0,26383.0,26364.0,26378.0,26362.0,26362.0,26370.0,26383.0,26362.0,26376.0,26362.0,26362.0,26383.0,26362.0,26373.0,26364.0,26362.0,26362.0,26362.0,26362.0,26362.0,26378.0,26362.0,26362.0,26362.0,26362.0,26370.0,26362.0,26383.0,26362.0,26362.0,26362.0,26376.0,26362.0,26362.0,26370.0,26362.0,26362.0,26374.0,26362.0,26370.0,26383.0,26362.0
X-n110-k13.vrp,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0
X-n115-k10.vrp,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0
X-n120-k6.vrp,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0
X-n125-k30.vrp,55546.0,55698.0,55696.0,55539.0,55557.0,55539.0,55539.0,55694.0,55866.0,55789.0,55866.0,55789.0,55546.0,55699.0,55546.0,55546.0,55549.0,55590.0,55539.0,55587.0,55546.0,55562.0,55546.0,55539.0,55696.0,55539.0,55539.0,55651.0,55539.0,55546.0,55866.0,55539.0,55866.0,55539.0,55554.0,55866.0,55539.0,55546.0,55699.0,55546.0,55866.0,55542.0,55539.0,55539.0,55546.0,55698.0,55876.0,55624.0,55539.0,55564.0
X-n129-k18.vrp,28948.0,28940.0,28948.0,28940.0,28954.0,28948.0,28948.0,28948.0,28948.0,28948.0,28940.0,28948.0,28948.0,28954.0,28940.0,28948.0,28948.0,28948.0,28948.0,28948.0,28948.0,28948.0,28948.0,28948.0,28948.0,28948.0,28954.0,28954.0,28948.0,28948.0,28948.0,28948.0,28954.0,28948.0,28948.0,28954.0,28948.0,28948.0,28940.0,28948.0,28954.0,28954.0,28954.0,28940.0,28954.0,28940.0,28948.0,28948.0,28948.0,28948.0
X-n134-k13.vrp,10933.0,10916.0,10916.0,10916.0,10933.0,10917.0,10917.0,10922.0,10933.0,10933.0,10916.0,10916.0,10932.0,10916.0,10916.0,10916.0,10920.0,10916.0,10916.0,10933.0,10923.0,10916.0,10916.0,10933.0,10923.0,10916.0,10916.0,10916.0,10933.0,10917.0,10918.0,10933.0,10916.0,10926.0,10933.0,10933.0,10916.0,10916.0,10916.0,10916.0,10923.0,10933.0,10916.0,10916.0,10919.0,10922.0,10931.0,10933.0,10916.0,10933.0
X-n139-k10.vrp,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0
X-n143-k7.vrp,15726.0,15726.0,15726.0,15726.0,15726.0,15724.0,15724.0,15726.0,15726.0,15726.0,15726.0,15726.0,15718.0,15708.0,15700.0,15700.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15700.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15724.0,15700.0,15726.0,15718.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15726.0,15700.0,15726.0,15700.0,15726.0,15700.0,15726.0
